(0.0, 44.85564041137695)
(0.0, 18.327604293823242)
(0.0, 16.960477828979492)
(0.0, 25.97308921813965)
(0.0, 14.471575736999512)
(0.0, 13.514270782470703)
(0.0, 11.529464721679688)
(0.0, 18.88886260986328)
(0.0, 11.423447608947754)
(0.0, 14.80474853515625)
(0.0, 15.471979141235352)
(0.0, 12.35396957397461)
(0.0, 20.358652114868164)
(0.0, 14.070853233337402)
(0.0, 16.34981346130371)
(0.0, 15.168937683105469)
(0.0, 17.711597442626953)
(0.0, 20.522842407226562)
(0.0, 8.615374565124512)
(0.0, 9.688945770263672)
(0.0, 8.875329971313477)
(0.0, 14.754680633544922)
(0.0, 21.43094253540039)
(0.0, 22.95322608947754)
(0.0, 13.05998420715332)
(0.0, 15.513851165771484)
(0.0, 10.24980354309082)
(0.0, 13.718864440917969)
(0.0, 25.736217498779297)
(0.0, 20.853580474853516)
(0.0, 18.087142944335938)
(0.0, 43.83522415161133)
(0.0, 9.806477546691895)
(0.0, 13.88214111328125)
(0.0, 24.386550903320312)
(0.0, 16.27290916442871)
(0.0, 12.538652420043945)
(0.0, 16.056825637817383)
(0.0, 11.348076820373535)
(0.0, 12.537611961364746)
(0.0, 16.272253036499023)
(0.0, 17.7982234954834)
(0.0, 15.059653282165527)
(0.0, 19.260967254638672)
(0.0, 10.13495922088623)
(0.0, 22.37856101989746)
(0.0, 16.222564697265625)
(0.0, 17.975345611572266)
(0.0, 14.373157501220703)
(0.0, 13.129606246948242)
(0.0, 13.176889419555664)
(0.0, 26.115219116210938)
(0.0, 19.92232894897461)
(0.0, 36.373504638671875)
(0.0, 18.54998207092285)
(0.0, 56.184165954589844)
(0.0, 17.75969886779785)
