(0.0, 20.6236629486084)
(0.0, 55.6014518737793)
(0.0, 41.14835739135742)
(0.0, 53.2925910949707)
(0.0, 83.52044677734375)
(0.0, 74.73358154296875)
(0.0, 108.04200744628906)
(0.0, 260.7713928222656)
(0.0, 193.89889526367188)
(0.0, 254.30157470703125)
(0.0, 369.2404479980469)
(0.0, 253.29689025878906)
(0.0, 343.1841735839844)
(0.0, 1119.29541015625)
(0.0, 654.4462890625)
(0.0, 859.570556640625)
(0.0, 1738.9814453125)
(0.0, 811.220703125)
(0.0, 1343.0469970703125)
(0.0, 1900.94189453125)
(0.0, 947.4613647460938)
(0.0, 1190.743896484375)
(0.0, 1416.3206787109375)
(0.0, 638.080078125)
(0.0, 978.6511840820312)
(0.0, 577.4716796875)
