(0.0, 20.987730026245117)
(0.0, 13.313150405883789)
(0.0, 9.934764862060547)
(0.0, 9.054421424865723)
(0.0, 6.098913669586182)
(0.0, 5.022063255310059)
(0.0, 8.51109790802002)
(0.0, 13.45213508605957)
(0.0, 5.233760356903076)
(0.0, 14.325644493103027)
(0.0, 7.858421802520752)
(0.0, 12.848024368286133)
(0.0, 7.618968963623047)
(0.0, 5.557297229766846)
(0.0, 6.144062042236328)
(0.0, 3.859455108642578)
(0.0, 5.339047908782959)
(0.0, 5.2215895652771)
(0.0, 5.52736759185791)
(0.0, 3.934072971343994)
(0.0, 5.452269077301025)
(0.0, 5.690430164337158)
(0.0, 7.168170928955078)
(0.0, 3.8516454696655273)
(0.0, 5.678168773651123)
(0.0, 4.984294414520264)
(0.0, 6.758213043212891)
(0.0, 4.490623950958252)
(0.0, 6.646368980407715)
(0.0, 7.421478271484375)
(0.0, 5.861001491546631)
(0.0, 9.141326904296875)
(0.0, 4.048952102661133)
(0.0, 5.013289451599121)
(0.0, 4.286214351654053)
(0.0, 7.246140480041504)
(0.0, 6.790816783905029)
